Employee #,Last Name,First Name,Month,Date,Time-in,Time-out
10017,Santos,Vella,August,8/9/2022,10:00,17:00
10018,Del Rosario,Tomas,August,8/9/2022,10:00,17:00
10019,Tolentino,Jacklyn,August,8/9/2022,10:00,17:00
10020,Gutierrez,Percival,August,8/9/2022,10:00,17:00
10021,Manalaysay,Garfield,August,8/9/2022,10:00,17:00
10022,Villegas,Lizeth,August,8/9/2022,10:00,17:00
10023,Ramos,Carol,August,8/9/2022,10:00,17:00
10024,Maceda,Emelia,August,8/9/2022,10:00,17:00
10025,Aguilar,Delia,August,8/9/2022,10:00,17:00
10001,Crisostomo,Jose,September,9/9/2022,8:00,17:00
10002,Mata,Christian,September,9/9/2022,8:00,17:00
10003,San Jose,Brad,September,9/9/2022,8:00,17:00
10004,Salcedo,Anthony,September,9/9/2022,8:00,17:00
10005,Romualdez,Alice,September,9/9/2022,8:00,17:00
10006,Atienza,Rosie,September,9/9/2022,8:00,17:00
10007,Farala,Martha,September,9/9/2022,8:00,17:00
10008,Martinez,Leila,September,9/9/2022,8:00,17:00
10009,San Jose,Allison,September,9/9/2022,0:00,0:00
10010,Rosario,Cydney,September,9/9/2022,8:00,17:00
10011,Lopez,Josie,September,9/9/2022,8:00,17:00
10012,De Leon,Selena,September,9/9/2022,8:00,17:00
10013,Romualdez,Fredrick,September,9/9/2022,8:00,17:00
10014,Bautista,Mark,September,9/9/2022,8:00,17:00
10015,Lazaro,Darlene,September,9/9/2022,8:00,17:00
10016,Delos Santos,Kolby,September,9/9/2022,8:00,17:00
10017,Santos,Vella,September,9/9/2022,8:00,17:00
10018,Del Rosario,Tomas,September,9/9/2022,8:00,17:00
10019,Tolentino,Jacklyn,September,9/9/2022,8:00,17:00
10020,Gutierrez,Percival,September,9/9/2022,8:00,17:00
10021,Manalaysay,Garfield,September,9/9/2022,8:00,17:00
10022,Villegas,Lizeth,September,9/9/2022,8:00,17:00
10023,Ramos,Carol,September,9/9/2022,8:00,17:00
10024,Maceda,Emelia,September,9/9/2022,8:00,17:00
10025,Aguilar,Delia,September,9/9/2022,8:00,17:00
10001,Crisostomo,Jose,September,9/12/2022,8:00,17:00
10002,Mata,Christian,September,9/12/2022,8:00,17:00
10003,San Jose,Brad,September,9/12/2022,8:00,17:00
10004,Salcedo,Anthony,September,9/12/2022,8:00,17:00
10005,Romualdez,Alice,September,9/12/2022,8:00,17:00
10006,Atienza,Rosie,September,9/12/2022,8:00,17:00
10007,Farala,Martha,September,9/12/2022,8:27,17:00
10008,Martinez,Leila,September,9/12/2022,8:01,17:00
10009,San Jose,Allison,September,9/12/2022,0:00,0:00
10010,Rosario,Cydney,September,9/12/2022,8:00,17:00
10011,Lopez,Josie,September,9/12/2022,8:00,17:00
10012,De Leon,Selena,September,9/12/2022,8:00,17:00
10013,Romualdez,Fredrick,September,9/12/2022,8:00,17:00
10014,Bautista,Mark,September,9/12/2022,8:00,17:00
10015,Lazaro,Darlene,September,9/12/2022,8:00,17:00
10016,Delos Santos,Kolby,September,9/12/2022,8:28,17:00
10017,Santos,Vella,September,9/12/2022,8:00,17:00
10018,Del Rosario,Tomas,September,9/12/2022,8:00,17:00
10019,Tolentino,Jacklyn,September,9/12/2022,8:00,17:00
10020,Gutierrez,Percival,September,9/12/2022,8:00,17:00
10021,Manalaysay,Garfield,September,9/12/2022,8:11,17:00
10022,Villegas,Lizeth,September,9/12/2022,8:00,17:00
10023,Ramos,Carol,September,9/12/2022,8:00,17:00
10024,Maceda,Emelia,September,9/12/2022,8:21,17:00
10025,Aguilar,Delia,September,9/12/2022,8:00,17:00
10001,Crisostomo,Jose,September,9/13/2022,8:00,17:00
10002,Mata,Christian,September,9/13/2022,8:00,17:00
10003,San Jose,Brad,September,9/13/2022,8:00,17:00
10004,Salcedo,Anthony,September,9/13/2022,8:00,17:00
10005,Romualdez,Alice,September,9/13/2022,8:00,17:00
10006,Atienza,Rosie,September,9/13/2022,8:00,17:00
10007,Farala,Martha,September,9/13/2022,8:00,17:00
10008,Martinez,Leila,September,9/13/2022,8:00,17:00
10009,San Jose,Allison,September,9/13/2022,8:00,17:00
10010,Rosario,Cydney,September,9/13/2022,8:00,17:00
10011,Lopez,Josie,September,9/13/2022,8:00,17:00
10012,De Leon,Selena,September,9/13/2022,8:00,17:00
10013,Romualdez,Fredrick,September,9/13/2022,8:00,17:00
10014,Bautista,Mark,September,9/13/2022,8:00,17:00
10015,Lazaro,Darlene,September,9/13/2022,8:00,17:00
10016,Delos Santos,Kolby,September,9/13/2022,8:00,17:00
10017,Santos,Vella,September,9/13/2022,0:00,0:00
10018,Del Rosario,Tomas,September,9/13/2022,8:00,17:00
10019,Tolentino,Jacklyn,September,9/13/2022,8:00,17:00
10020,Gutierrez,Percival,September,9/13/2022,8:00,17:00
10021,Manalaysay,Garfield,September,9/13/2022,8:00,17:00
10022,Villegas,Lizeth,September,9/13/2022,8:00,17:00
10023,Ramos,Carol,September,9/13/2022,8:00,17:00
10024,Maceda,Emelia,September,9/13/2022,8:00,17:00
10025,Aguilar,Delia,September,9/13/2022,8:00,17:00
10001,Crisostomo,Jose,September,9/14/2022,8:00,17:00
10002,Mata,Christian,September,9/14/2022,8:00,17:00
10003,San Jose,Brad,September,9/14/2022,8:00,17:00
10004,Salcedo,Anthony,September,9/14/2022,8:00,17:00
10005,Romualdez,Alice,September,9/14/2022,8:15,17:00
10006,Atienza,Rosie,September,9/14/2022,8:00,17:00
10007,Farala,Martha,September,9/14/2022,8:00,17:00
10008,Martinez,Leila,September,9/14/2022,8:00,17:00
10009,San Jose,Allison,September,9/14/2022,8:00,17:00
10010,Rosario,Cydney,September,9/14/2022,8:00,17:00
10011,Lopez,Josie,September,9/14/2022,10:30,17:00
10012,De Leon,Selena,September,9/14/2022,8:00,17:00
10013,Romualdez,Fredrick,September,9/14/2022,8:00,17:00
10014,Bautista,Mark,September,9/14/2022,8:00,17:00
10015,Lazaro,Darlene,September,9/14/2022,8:00,17:00
10016,Delos Santos,Kolby,September,9/14/2022,8:00,17:00
10017,Santos,Vella,September,9/14/2022,8:00,17:00
10018,Del Rosario,Tomas,September,9/14/2022,8:00,17:00
10019,Tolentino,Jacklyn,September,9/14/2022,8:00,17:00
10020,Gutierrez,Percival,September,9/14/2022,8:00,17:00
10021,Manalaysay,Garfield,September,9/14/2022,13:00,17:00
10022,Villegas,Lizeth,September,9/14/2022,8:00,17:00
10023,Ramos,Carol,September,9/14/2022,8:00,17:00
10024,Maceda,Emelia,September,9/14/2022,8:00,17:00
10025,Aguilar,Delia,September,9/14/2022,8:00,17:00
10001,Crisostomo,Jose,September,9/15/2022,8:00,17:00
10002,Mata,Christian,September,9/15/2022,8:00,17:00
10003,San Jose,Brad,September,9/15/2022,11:30,17:00
10004,Salcedo,Anthony,September,9/15/2022,8:00,17:00
10005,Romualdez,Alice,September,9/15/2022,8:00,17:00
10006,Atienza,Rosie,September,9/15/2022,8:00,17:00
10007,Farala,Martha,September,9/15/2022,8:00,17:00
10008,Martinez,Leila,September,9/15/2022,8:10,17:00
10009,San Jose,Allison,September,9/15/2022,8:00,17:00
10010,Rosario,Cydney,September,9/15/2022,8:00,17:00
10011,Lopez,Josie,September,9/15/2022,8:00,17:00
10012,De Leon,Selena,September,9/15/2022,8:00,17:00
10013,Romualdez,Fredrick,September,9/15/2022,8:00,17:00
10014,Bautista,Mark,September,9/15/2022,8:00,17:00
10015,Lazaro,Darlene,September,9/15/2022,8:00,17:00
10016,Delos Santos,Kolby,September,9/15/2022,8:00,17:00
10017,Santos,Vella,September,9/15/2022,8:05,17:00
10018,Del Rosario,Tomas,September,9/15/2022,8:00,17:00
10019,Tolentino,Jacklyn,September,9/15/2022,8:00,17:00
10020,Gutierrez,Percival,September,9/15/2022,8:00,17:00
10021,Manalaysay,Garfield,September,9/15/2022,8:00,17:00
10022,Villegas,Lizeth,September,9/15/2022,8:00,17:00
10023,Ramos,Carol,September,9/15/2022,9:00,17:00
10024,Maceda,Emelia,September,9/15/2022,0:00,0:00
10025,Aguilar,Delia,September,9/15/2022,8:00,17:00
10001,Crisostomo,Jose,September,9/16/2022,8:00,17:00
10002,Mata,Christian,September,9/16/2022,8:00,17:00
10003,San Jose,Brad,September,9/16/2022,8:00,17:00
10004,Salcedo,Anthony,September,9/16/2022,8:00,17:00
10005,Romualdez,Alice,September,9/16/2022,8:00,17:00
10006,Atienza,Rosie,September,9/16/2022,8:00,17:00
10007,Farala,Martha,September,9/16/2022,8:00,17:00
10008,Martinez,Leila,September,9/16/2022,8:00,17:00
10009,San Jose,Allison,September,9/16/2022,8:00,17:00
10010,Rosario,Cydney,September,9/16/2022,8:00,17:00
10011,Lopez,Josie,September,9/16/2022,8:00,17:00
10012,De Leon,Selena,September,9/16/2022,8:00,17:00
10013,Romualdez,Fredrick,September,9/16/2022,8:00,17:00
10014,Bautista,Mark,September,9/16/2022,8:00,17:00
10015,Lazaro,Darlene,September,9/16/2022,8:00,17:00
10016,Delos Santos,Kolby,September,9/16/2022,8:00,17:00
10017,Santos,Vella,September,9/16/2022,8:00,17:00
10018,Del Rosario,Tomas,September,9/16/2022,8:00,17:00
10019,Tolentino,Jacklyn,September,9/16/2022,8:00,17:00
10020,Gutierrez,Percival,September,9/16/2022,8:00,17:00
10021,Manalaysay,Garfield,September,9/16/2022,8:00,17:00
10022,Villegas,Lizeth,September,9/16/2022,8:00,17:00
10023,Ramos,Carol,September,9/16/2022,8:00,17:00
10024,Maceda,Emelia,September,9/16/2022,8:00,17:00
10025,Aguilar,Delia,September,9/16/2022,8:00,17:00
10001,Crisostomo,Jose,September,9/19/2022,8:00,17:00
10002,Mata,Christian,September,9/19/2022,8:00,17:00
10003,San Jose,Brad,September,9/19/2022,8:00,17:00
10004,Salcedo,Anthony,September,9/19/2022,8:00,17:00
10005,Romualdez,Alice,September,9/19/2022,8:00,17:00
10006,Atienza,Rosie,September,9/19/2022,8:00,17:00
10007,Farala,Martha,September,9/19/2022,8:00,17:00
10008,Martinez,Leila,September,9/19/2022,8:00,17:00
10009,San Jose,Allison,September,9/19/2022,8:00,17:00
10010,Rosario,Cydney,September,9/19/2022,8:00,17:00
10011,Lopez,Josie,September,9/19/2022,8:00,17:00
10012,De Leon,Selena,September,9/19/2022,8:00,17:00
10013,Romualdez,Fredrick,September,9/19/2022,10:00,17:00
10014,Bautista,Mark,September,9/19/2022,10:00,17:00
10015,Lazaro,Darlene,September,9/19/2022,10:00,17:00
10016,Delos Santos,Kolby,September,9/19/2022,10:00,17:00
10017,Santos,Vella,September,9/19/2022,0:00,0:00
10018,Del Rosario,Tomas,September,9/19/2022,10:00,17:00
10019,Tolentino,Jacklyn,September,9/19/2022,10:00,17:00
10020,Gutierrez,Percival,September,9/19/2022,10:00,17:00
10021,Manalaysay,Garfield,September,9/19/2022,10:00,17:00
10022,Villegas,Lizeth,September,9/19/2022,10:00,17:00
10023,Ramos,Carol,September,9/19/2022,10:00,17:00
10024,Maceda,Emelia,September,9/19/2022,10:00,17:00
10025,Aguilar,Delia,September,9/19/2022,10:00,17:00
10001,Crisostomo,Jose,September,9/20/2022,8:00,17:00
10002,Mata,Christian,September,9/20/2022,8:00,17:00
10003,San Jose,Brad,September,9/20/2022,8:00,17:00
10004,Salcedo,Anthony,September,9/20/2022,8:00,17:00
10005,Romualdez,Alice,September,9/20/2022,8:00,17:00
10006,Atienza,Rosie,September,9/20/2022,8:00,17:00
10007,Farala,Martha,September,9/20/2022,8:00,17:00
10008,Martinez,Leila,September,9/20/2022,8:00,17:00
10009,San Jose,Allison,September,9/20/2022,8:00,17:00
10010,Rosario,Cydney,September,9/20/2022,8:00,17:00
10011,Lopez,Josie,September,9/20/2022,8:00,17:00
10012,De Leon,Selena,September,9/20/2022,8:00,17:00
10013,Romualdez,Fredrick,September,9/20/2022,8:00,17:00
10014,Bautista,Mark,September,9/20/2022,8:00,17:00
10015,Lazaro,Darlene,September,9/20/2022,8:00,17:00
10016,Delos Santos,Kolby,September,9/20/2022,8:00,17:00
10017,Santos,Vella,September,9/20/2022,8:00,17:00
10018,Del Rosario,Tomas,September,9/20/2022,0:00,0:00
10019,Tolentino,Jacklyn,September,9/20/2022,8:00,17:00
10020,Gutierrez,Percival,September,9/20/2022,8:00,17:00
10021,Manalaysay,Garfield,September,9/20/2022,8:00,17:00
10022,Villegas,Lizeth,September,9/20/2022,8:00,17:00
10023,Ramos,Carol,September,9/20/2022,8:00,17:00
10024,Maceda,Emelia,September,9/20/2022,8:00,17:00
10025,Aguilar,Delia,September,9/20/2022,8:00,17:00
10001,Crisostomo,Jose,September,9/21/2022,8:00,17:00
10002,Mata,Christian,September,9/21/2022,8:00,17:00
10003,San Jose,Brad,September,9/21/2022,8:00,17:00
10004,Salcedo,Anthony,September,9/21/2022,8:00,17:00
10005,Romualdez,Alice,September,9/21/2022,8:00,17:00
10006,Atienza,Rosie,September,9/21/2022,8:00,17:00
10007,Farala,Martha,September,9/21/2022,8:27,17:00
10008,Martinez,Leila,September,9/21/2022,8:01,17:00
10009,San Jose,Allison,September,9/21/2022,8:05,17:00
10010,Rosario,Cydney,September,9/21/2022,8:00,17:00
10011,Lopez,Josie,September,9/21/2022,8:00,17:00
10012,De Leon,Selena,September,9/21/2022,8:00,17:00
10013,Romualdez,Fredrick,September,9/21/2022,8:00,17:00
10014,Bautista,Mark,September,9/21/2022,8:00,17:00
10015,Lazaro,Darlene,September,9/21/2022,8:00,17:00
10016,Delos Santos,Kolby,September,9/21/2022,8:28,17:00
10017,Santos,Vella,September,9/21/2022,8:00,17:00
10018,Del Rosario,Tomas,September,9/21/2022,0:00,0:00
10019,Tolentino,Jacklyn,September,9/21/2022,8:00,17:00
10020,Gutierrez,Percival,September,9/21/2022,8:00,17:00
10021,Manalaysay,Garfield,September,9/21/2022,8:11,17:00
10022,Villegas,Lizeth,September,9/21/2022,8:00,17:00
10023,Ramos,Carol,September,9/21/2022,8:00,17:00
10024,Maceda,Emelia,September,9/21/2022,8:21,17:00
10025,Aguilar,Delia,September,9/21/2022,8:00,17:00
10001,Crisostomo,Jose,September,9/22/2022,8:00,17:00
10002,Mata,Christian,September,9/22/2022,8:00,17:00
10003,San Jose,Brad,September,9/22/2022,8:00,17:00
10004,Salcedo,Anthony,September,9/22/2022,8:00,17:00
10005,Romualdez,Alice,September,9/22/2022,8:00,17:00
10006,Atienza,Rosie,September,9/22/2022,8:00,17:00
10007,Farala,Martha,September,9/22/2022,8:00,17:00
10008,Martinez,Leila,September,9/22/2022,8:00,17:00
10009,San Jose,Allison,September,9/22/2022,8:00,17:00
10010,Rosario,Cydney,September,9/22/2022,8:00,17:00
10011,Lopez,Josie,September,9/22/2022,8:00,17:00
10012,De Leon,Selena,September,9/22/2022,8:00,17:00
10013,Romualdez,Fredrick,September,9/22/2022,8:00,17:00
10014,Bautista,Mark,September,9/22/2022,8:00,17:00
10015,Lazaro,Darlene,September,9/22/2022,8:00,17:00
10016,Delos Santos,Kolby,September,9/22/2022,8:00,17:00
10017,Santos,Vella,September,9/22/2022,8:00,17:00
10018,Del Rosario,Tomas,September,9/22/2022,8:00,17:00
10019,Tolentino,Jacklyn,September,9/22/2022,8:00,17:00
10020,Gutierrez,Percival,September,9/22/2022,8:00,17:00
10021,Manalaysay,Garfield,September,9/22/2022,8:00,17:00
10022,Villegas,Lizeth,September,9/22/2022,8:00,17:00
10023,Ramos,Carol,September,9/22/2022,8:00,17:00
10024,Maceda,Emelia,September,9/22/2022,8:00,17:00
10025,Aguilar,Delia,September,9/22/2022,8:00,17:00
10001,Crisostomo,Jose,September,9/23/2022,8:00,17:00
10002,Mata,Christian,September,9/23/2022,8:00,17:00
10003,San Jose,Brad,September,9/23/2022,8:00,17:00
10004,Salcedo,Anthony,September,9/23/2022,8:00,17:00
10005,Romualdez,Alice,September,9/23/2022,8:15,17:00
10006,Atienza,Rosie,September,9/23/2022,8:00,17:00
10007,Farala,Martha,September,9/23/2022,8:00,17:00
10008,Martinez,Leila,September,9/23/2022,8:00,17:00
10009,San Jose,Allison,September,9/23/2022,8:00,17:00
10010,Rosario,Cydney,September,9/23/2022,8:00,17:00
10011,Lopez,Josie,September,9/23/2022,10:30,17:00
10012,De Leon,Selena,September,9/23/2022,8:00,17:00
10013,Romualdez,Fredrick,September,9/23/2022,8:00,17:00
10014,Bautista,Mark,September,9/23/2022,8:00,17:00
10015,Lazaro,Darlene,September,9/23/2022,8:00,17:00
10016,Delos Santos,Kolby,September,9/23/2022,8:00,17:00
10017,Santos,Vella,September,9/23/2022,8:00,17:00
10018,Del Rosario,Tomas,September,9/23/2022,8:00,17:00
10019,Tolentino,Jacklyn,September,9/23/2022,8:00,17:00
10020,Gutierrez,Percival,September,9/23/2022,8:00,17:00
10021,Manalaysay,Garfield,September,9/23/2022,13:00,17:00
10022,Villegas,Lizeth,September,9/23/2022,8:00,17:00
10023,Ramos,Carol,September,9/23/2022,8:00,17:00
10024,Maceda,Emelia,September,9/23/2022,8:00,17:00
10025,Aguilar,Delia,September,9/23/2022,8:00,17:00
10001,Crisostomo,Jose,September,9/26/2022,8:00,17:00
10002,Mata,Christian,September,9/26/2022,8:00,17:00
10003,San Jose,Brad,September,9/26/2022,11:30,17:00
10004,Salcedo,Anthony,September,9/26/2022,8:00,17:00
10005,Romualdez,Alice,September,9/26/2022,8:00,17:00
10006,Atienza,Rosie,September,9/26/2022,8:00,17:00
10007,Farala,Martha,September,9/26/2022,8:00,17:00
10008,Martinez,Leila,September,9/26/2022,8:10,17:00
10009,San Jose,Allison,September,9/26/2022,8:00,17:00
10010,Rosario,Cydney,September,9/26/2022,8:00,17:00
10011,Lopez,Josie,September,9/26/2022,8:00,17:00
10012,De Leon,Selena,September,9/26/2022,8:00,17:00
10013,Romualdez,Fredrick,September,9/26/2022,8:00,17:00
10014,Bautista,Mark,September,9/26/2022,8:00,17:00
10015,Lazaro,Darlene,September,9/26/2022,8:00,17:00
10016,Delos Santos,Kolby,September,9/26/2022,8:00,17:00
10017,Santos,Vella,September,9/26/2022,8:05,17:00
10018,Del Rosario,Tomas,September,9/26/2022,8:00,17:00
10019,Tolentino,Jacklyn,September,9/26/2022,8:00,17:00
10020,Gutierrez,Percival,September,9/26/2022,8:00,17:00
10021,Manalaysay,Garfield,September,9/26/2022,8:00,17:00
10022,Villegas,Lizeth,September,9/26/2022,8:00,17:00
10023,Ramos,Carol,September,9/26/2022,9:00,17:00
10024,Maceda,Emelia,September,9/26/2022,8:00,17:00
10025,Aguilar,Delia,September,9/26/2022,8:00,17:00
10001,Crisostomo,Jose,September,9/27/2022,8:00,17:00
10002,Mata,Christian,September,9/27/2022,8:00,17:00
10003,San Jose,Brad,September,9/27/2022,8:00,17:00
10004,Salcedo,Anthony,September,9/27/2022,8:00,17:00
10005,Romualdez,Alice,September,9/27/2022,8:00,17:00
10006,Atienza,Rosie,September,9/27/2022,8:00,17:00
10007,Farala,Martha,September,9/27/2022,8:00,17:00
10008,Martinez,Leila,September,9/27/2022,8:00,17:00
10009,San Jose,Allison,September,9/27/2022,8:00,17:00
10010,Rosario,Cydney,September,9/27/2022,8:00,17:00
10011,Lopez,Josie,September,9/27/2022,8:00,17:00
10012,De Leon,Selena,September,9/27/2022,8:00,17:00
10013,Romualdez,Fredrick,September,9/27/2022,8:00,17:00
